keyword,pillar,params
"how long to pay off $30,000 in credit card debt with minimum payments",min_trap,"{""balance"":30000,""apr"":26,""min_pct"":1,""min_floor"":25}"
"paying $250 a month on $5,000 credit card",extra_payment,"{""balance"":5000,""apr"":26,""payment"":150,""extra"":100}"
"how to pay off $4,000 credit card debt",extra_payment,"{""balance"":4000,""apr"":22,""payment"":120,""extra"":50}"
"how long to pay off $7,500 in credit card debt with minimum payments",min_trap,"{""balance"":7500,""apr"":19,""min_pct"":1,""min_floor"":25}"
"how to pay off $7,500 credit card debt",extra_payment,"{""balance"":7500,""apr"":19,""payment"":220,""extra"":50}"
"how long to pay off $10,000 in credit card debt with minimum payments",min_trap,"{""balance"":10000,""apr"":24,""min_pct"":1,""min_floor"":25}"
"paying $150 a month on $1,000 credit card",extra_payment,"{""balance"":1000,""apr"":22,""payment"":50,""extra"":100}"
"how to pay off $20,000 credit card debt",extra_payment,"{""balance"":20000,""apr"":19,""payment"":600,""extra"":50}"
"how long to pay off $15,000 in credit card debt with minimum payments",min_trap,"{""balance"":15000,""apr"":19,""min_pct"":1,""min_floor"":25}"
"how to pay off $12,000 credit card debt",extra_payment,"{""balance"":12000,""apr"":19,""payment"":360,""extra"":100}"
"paying $110 a month on $2,000 credit card",extra_payment,"{""balance"":2000,""apr"":24,""payment"":60,""extra"":50}"
"how to pay off $15,000 credit card debt",extra_payment,"{""balance"":15000,""apr"":19,""payment"":450,""extra"":200}"
debt snowball example with 4 debts,snowball_vs_avalanche,"{""debts"":[{""name"":""Card A"",""balance"":2500,""apr"":24.99,""min"":65},{""name"":""Card B"",""balance"":7400,""apr"":29.99,""min"":185},{""name"":""Personal loan"",""balance"":5200,""apr"":11.5,""min"":160},{""name"":""Store card"",""balance"":900,""apr"":26.99,""min"":30}],""budget"":840}"
"how long to pay off $4,000 in credit card debt with minimum payments",min_trap,"{""balance"":4000,""apr"":22,""min_pct"":1,""min_floor"":25}"
is 70 percent credit utilization bad,utilization,"{""balance"":7000,""limit"":10000}"
"paying $800 a month on $25,000 credit card",extra_payment,"{""balance"":25000,""apr"":21,""payment"":750,""extra"":50}"
"paying $650 a month on $20,000 credit card",extra_payment,"{""balance"":20000,""apr"":19,""payment"":600,""extra"":50}"
"paying $500 a month on $10,000 credit card",extra_payment,"{""balance"":10000,""apr"":24,""payment"":300,""extra"":200}"
"how long to pay off $20,000 in credit card debt with minimum payments",min_trap,"{""balance"":20000,""apr"":19,""min_pct"":1,""min_floor"":25}"
debt avalanche example with 4 debts,snowball_vs_avalanche,"{""debts"":[{""name"":""Card A"",""balance"":2500,""apr"":24.99,""min"":65},{""name"":""Card B"",""balance"":7400,""apr"":29.99,""min"":185},{""name"":""Personal loan"",""balance"":5200,""apr"":11.5,""min"":160},{""name"":""Store card"",""balance"":900,""apr"":26.99,""min"":30}],""budget"":690}"
"how to pay off $25,000 credit card debt",extra_payment,"{""balance"":25000,""apr"":21,""payment"":750,""extra"":50}"
"how to pay off $5,000 credit card debt",extra_payment,"{""balance"":5000,""apr"":26,""payment"":150,""extra"":100}"
"how long to pay off $2,000 in credit card debt with minimum payments",min_trap,"{""balance"":2000,""apr"":24,""min_pct"":1,""min_floor"":25}"
"credit utilization on a $7,500 credit limit",utilization,"{""balance"":4500,""limit"":7500}"
"how to pay off $2,000 credit card debt",extra_payment,"{""balance"":2000,""apr"":24,""payment"":60,""extra"":50}"
"credit utilization on a $10,000 credit limit",utilization,"{""balance"":7000,""limit"":10000}"
"paying $460 a month on $12,000 credit card",extra_payment,"{""balance"":12000,""apr"":19,""payment"":360,""extra"":100}"
"how long to pay off $5,000 in credit card debt with minimum payments",min_trap,"{""balance"":5000,""apr"":26,""min_pct"":1,""min_floor"":25}"
"credit utilization on a $2,000 credit limit",utilization,"{""balance"":900,""limit"":2000}"
debt avalanche example with 3 debts,snowball_vs_avalanche,"{""debts"":[{""name"":""Store card"",""balance"":1200,""apr"":18.99,""min"":35},{""name"":""Visa"",""balance"":6800,""apr"":27.49,""min"":170},{""name"":""Car loan"",""balance"":9500,""apr"":7.9,""min"":285}],""budget"":740}"
"how long to pay off $3,000 in credit card debt with minimum payments",min_trap,"{""balance"":3000,""apr"":19,""min_pct"":1,""min_floor"":25}"
"paying $170 a month on $4,000 credit card",extra_payment,"{""balance"":4000,""apr"":22,""payment"":120,""extra"":50}"
is 80 percent credit utilization bad,utilization,"{""balance"":2400,""limit"":3000}"
"paying $1,100 a month on $30,000 credit card",extra_payment,"{""balance"":30000,""apr"":26,""payment"":900,""extra"":200}"
"how to pay off $10,000 credit card debt",extra_payment,"{""balance"":10000,""apr"":24,""payment"":300,""extra"":200}"
"credit utilization on a $1,000 credit limit",utilization,"{""balance"":450,""limit"":1000}"
"how to pay off $3,000 credit card debt",extra_payment,"{""balance"":3000,""apr"":19,""payment"":90,""extra"":50}"
"how to pay off $30,000 credit card debt",extra_payment,"{""balance"":30000,""apr"":26,""payment"":900,""extra"":200}"
