id,pillar,title,params
131,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $26,200","{""debts"":[{""name"":""Personal loan"",""balance"":1700,""apr"":13,""min"":40},{""name"":""Card D"",""balance"":13400,""apr"":22,""min"":335},{""name"":""Card C"",""balance"":9300,""apr"":12,""min"":230},{""name"":""Card B"",""balance"":1800,""apr"":12,""min"":45}],""budget"":1250}"
132,utilization,"The credit utilization math on a $7,500 limit","{""balance"":5100,""limit"":7500}"
133,min_trap,"What the minimum payment really costs on $23,000","{""balance"":23000,""apr"":17,""min_pct"":1,""min_floor"":25}"
134,extra_payment,"$22,250 at 28%: paying $720 vs $770 a month","{""balance"":22250,""apr"":28,""payment"":720,""extra"":50}"
135,snowball_vs_avalanche,"Smallest balance first or highest APR first? $18,200 test","{""debts"":[{""name"":""Store card"",""balance"":5200,""apr"":24,""min"":130},{""name"":""Card D"",""balance"":13000,""apr"":12,""min"":325}],""budget"":955}"
136,utilization,"Your $4,600 balance on a $7,500 limit is hurting your score","{""balance"":4600,""limit"":7500}"
137,min_trap,"What the minimum payment really costs on $5,500","{""balance"":5500,""apr"":20,""min_pct"":1,""min_floor"":25}"
138,extra_payment,"$11,000 at 23%: paying $300 vs $450 a month","{""balance"":11000,""apr"":23,""payment"":300,""extra"":150}"
139,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $34,400","{""debts"":[{""name"":""Card A"",""balance"":5000,""apr"":12,""min"":125},{""name"":""Card D"",""balance"":8500,""apr"":14,""min"":210},{""name"":""Card B"",""balance"":3800,""apr"":15,""min"":95},{""name"":""Store card"",""balance"":7200,""apr"":15,""min"":180},{""name"":""Personal loan"",""balance"":9900,""apr"":16,""min"":250}],""budget"":1160}"
140,utilization,80% credit utilization? Here is the fix,"{""balance"":8000,""limit"":10000}"
141,min_trap,"Why your $11,000 card balance never goes down","{""balance"":11000,""apr"":22,""min_pct"":1,""min_floor"":25}"
142,extra_payment,"The $100 trick that saves months on $13,000 of debt","{""balance"":13000,""apr"":23,""payment"":350,""extra"":100}"
143,snowball_vs_avalanche,"Smallest balance first or highest APR first? $14,400 test","{""debts"":[{""name"":""Card A"",""balance"":5400,""apr"":28,""min"":135},{""name"":""Store card"",""balance"":4400,""apr"":12,""min"":110},{""name"":""Card C"",""balance"":4600,""apr"":21,""min"":115}],""budget"":960}"
144,utilization,"Pay this much before your statement closes ($1,250 on $2,000)","{""balance"":1250,""limit"":2000}"
145,min_trap,"What the minimum payment really costs on $12,500","{""balance"":12500,""apr"":20,""min_pct"":1,""min_floor"":25}"
146,extra_payment,"Add $200 a month to a $38,500 balance. Watch what happens","{""balance"":38500,""apr"":21,""payment"":1230,""extra"":200}"
147,snowball_vs_avalanche,"3 debts, $24,700 total. Snowball or Avalanche?","{""debts"":[{""name"":""Personal loan"",""balance"":12900,""apr"":25,""min"":320},{""name"":""Card C"",""balance"":1100,""apr"":27,""min"":30},{""name"":""Card B"",""balance"":10700,""apr"":24,""min"":270}],""budget"":920}"
148,utilization,"How much to pay to get under 30% utilization on a $7,500 card","{""balance"":2800,""limit"":7500}"
149,min_trap,"The minimum payment trap on $13,000 of credit card debt","{""balance"":13000,""apr"":24,""min_pct"":1,""min_floor"":25}"
150,extra_payment,"$26,750 at 22%: paying $670 vs $745 a month","{""balance"":26750,""apr"":22,""payment"":670,""extra"":75}"
151,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $28,200","{""debts"":[{""name"":""Card A"",""balance"":5400,""apr"":24,""min"":135},{""name"":""Card C"",""balance"":9900,""apr"":22,""min"":250},{""name"":""Store card"",""balance"":12900,""apr"":29,""min"":320}],""budget"":1005}"
152,utilization,"The credit utilization math on a $15,000 limit","{""balance"":12000,""limit"":15000}"
153,min_trap,"What the minimum payment really costs on $22,000","{""balance"":22000,""apr"":15,""min_pct"":1,""min_floor"":25}"
154,extra_payment,"Add $150 a month to a $4,250 balance. Watch what happens","{""balance"":4250,""apr"":25,""payment"":150,""extra"":150}"
155,snowball_vs_avalanche,"Snowball vs Avalanche on $18,400. Which wins?","{""debts"":[{""name"":""Card C"",""balance"":11500,""apr"":15,""min"":290},{""name"":""Card A"",""balance"":6900,""apr"":21,""min"":170}],""budget"":560}"
156,utilization,"Your $3,400 balance on a $4,000 limit is hurting your score","{""balance"":3400,""limit"":4000}"
157,min_trap,"Why your $8,000 card balance never goes down","{""balance"":8000,""apr"":20,""min_pct"":1,""min_floor"":25}"
158,extra_payment,"Add $75 a month to a $8,250 balance. Watch what happens","{""balance"":8250,""apr"":23,""payment"":260,""extra"":75}"
159,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $21,100","{""debts"":[{""name"":""Card A"",""balance"":9500,""apr"":19,""min"":240},{""name"":""Personal loan"",""balance"":7700,""apr"":16,""min"":190},{""name"":""Card C"",""balance"":3900,""apr"":20,""min"":100}],""budget"":830}"
160,utilization,"Pay this much before your statement closes ($2,350 on $3,000)","{""balance"":2350,""limit"":3000}"
161,min_trap,"The minimum payment trap on $4,750 of credit card debt","{""balance"":4750,""apr"":22,""min_pct"":1,""min_floor"":25}"
162,extra_payment,"How $250 extra per month kills $49,500 of debt faster","{""balance"":49500,""apr"":19,""payment"":1710,""extra"":250}"
